Código Cuenta;Tipo de Cuenta;Descripción;Atributo Bancario;Atributo Auxiliar;Atributo Honorarios;Requiere Centro de Costo;Requiere Sucursal
1;GRUPO;ACTIVOS;NO;NO;NO;NO;NO
11;SUBGRUPO;ACTIVOS CORRIENTES;NO;NO;NO;NO;NO
1101;MAYOR;EFECTIVO Y EQUIVALENTES AL EFECTIVO;NO;NO;NO;NO;NO
1101-01;SUBCUENTA;CUENTA CAJA;NO;NO;NO;NO;NO
1101-02;SUBCUENTA;SCOTIABANK;NO;NO;NO;NO;NO
1101-03;SUBCUENTA;BANCO ESTADO;NO;NO;NO;NO;NO
1102;MAYOR;OTROS ACTIVOS FINANCIEROS, CORRIENTES;NO;NO;NO;NO;NO
1102-01;SUBCUENTA;DEPOSITOS A PLAZO;NO;NO;NO;NO;NO
1102-02;SUBCUENTA;ACCIONES;NO;NO;NO;NO;NO
1103;MAYOR;OTROS ACTIVOS NO FINANCIEROS, CORRIENTES;NO;NO;NO;NO;NO
1104;MAYOR;DEUDORES COMERCIALES Y OTRAS CUENTAS POR COBRAR, CORRIENTES;NO;NO;NO;NO;NO
1104-01;SUBCUENTA;DEUDORES CLIENTES;NO;SI;NO;NO;NO
1104-02;SUBCUENTA;DEUDORES VARIOS;NO;NO;NO;NO;NO
1105;MAYOR;CUENTAS POR COBRAR A ENTIDADES RELACIONADAS, CORRIENTES;NO;NO;NO;NO;NO
1110;MAYOR;INVENTARIOS;NO;NO;NO;NO;NO
1110-01;SUBCUENTA;MERCADERIAS;NO;NO;NO;NO;NO
1110-02;SUBCUENTA;MATERIAS PRIMAS;NO;NO;NO;NO;NO
1110-03;SUBCUENTA;MATERIALES;NO;NO;NO;NO;NO
1110-04;SUBCUENTA;PRODUCTOS FABRICADOS;NO;NO;NO;NO;NO
1110-05;SUBCUENTA;PRODUCTOS EN PROCESO;NO;NO;NO;NO;NO
1110-06;SUBCUENTA;ENVASES;NO;NO;NO;NO;NO
1110-12;SUBCUENTA;DETERIORO FISICO (-);NO;NO;NO;NO;NO
1112;MAYOR;ACTIVOS BIOLÓGICOS, CORRIENTES;NO;NO;NO;NO;NO
1112-01;SUBCUENTA;GANADO;NO;NO;NO;NO;NO
1113;MAYOR;ACTIVOS POR IMPUESTOS, CORRIENTES;NO;NO;NO;NO;NO
1113-01;SUBCUENTA;PAGOS PROVISIONALES;NO;NO;NO;NO;NO
1113-02;SUBCUENTA;IVA CREDITO FISCAL;NO;NO;NO;NO;NO
1113-04;SUBCUENTA;CREDITO ART. 33 BIS;NO;NO;NO;NO;NO
1113-06;SUBCUENTA;CREDITO SENCE;NO;NO;NO;NO;NO
1115;MAYOR;ACTIVOS NO CORRIENTES O GRUPOS DE ACTIVOS PARA SU DISPOSICIÓN CLASIFICADOS COMO MANTENIDOS PARA LA VENTA ;NO;NO;NO;NO;NO
1116;MAYOR;ACTIVOS NO CORRIENTES O GRUPOS DE ACTIVOS PARA SU DISPOSICIÓN CLASIFICADOS COMO MANTENIDOS PARA DISTRIBUIR A LOS PROPIET;NO;NO;NO;NO;NO
12;SUBGRUPO;ACTIVOS NO CORRIENTES;NO;NO;NO;NO;NO
1201;MAYOR;OTROS ACTIVOS FINANCIEROS, NO CORRIENTES;NO;NO;NO;NO;NO
1202;MAYOR;OTROS ACTIVOS NO FINANCIEROS, NO CORRIENTES;NO;NO;NO;NO;NO
1202-01;SUBCUENTA;SOFTWARE Y LICENCIAS;NO;NO;NO;NO;NO
1202-10;SUBCUENTA;AMORTIZACION ACUMULADA OTROS ACTIVOS NO FINANCIEROS;NO;NO;NO;NO;NO
1204;MAYOR;DERECHOS POR COBRAR, NO CORRIENTES;NO;NO;NO;NO;NO
1204-01;SUBCUENTA;LETRAS POR COBRAR;NO;NO;NO;NO;NO
1205;MAYOR;CUENTAS POR COBRAR A ENTIDADES RELACIONADAS, NO CORRIENTES;NO;NO;NO;NO;NO
1206;MAYOR;INVERSIONES CONTABILIZADAS UTILIZANDO EL MÉTODO DE LA PARTICIPACIÓN;NO;NO;NO;NO;NO
