Código Cuenta;Tipo de Cuenta;Descripción;Atributo Bancario;Atributo Auxiliar;Atributo Honorarios;Requiere Centro de Costo;Requiere Sucursal
1;GRUPO;ACTIVOS;NO;NO;NO;NO;NO
11;SUBGRUPO;ACTIVO CIRCULANTE;NO;NO;NO;NO;NO
1101;MAYOR;DISPONIBLE;NO;NO;NO;NO;NO
1101-01;SUBCUENTA;CUENTA CAJA;NO;NO;NO;NO;NO
1101-02;SUBCUENTA;BANCO ;NO;NO;NO;NO;NO
1101-03;SUBCUENTA;banco santander;SI;NO;NO;NO;NO
1101-04;SUBCUENTA;BANCO USD;NO;NO;NO;NO;NO
1101-05;SUBCUENTA;BANCO EURO;NO;NO;NO;NO;NO
1102;MAYOR;DEPOSITOS A PLAZO;NO;NO;NO;NO;NO
1102-01;SUBCUENTA;DEPOSITOS A PLAZO;NO;NO;NO;NO;NO
1103;MAYOR;VALORES NEGOCIABLES;NO;NO;NO;NO;NO
1103-01;SUBCUENTA;ACCIONES;NO;NO;NO;NO;NO
1104;MAYOR;DEUDORES POR VENTAS;NO;NO;NO;NO;NO
1104-01;SUBCUENTA;DEUDORES CLIENTES;NO;SI;NO;NO;NO
1105;MAYOR;DOCTOS. POR COBRAR;NO;NO;NO;NO;NO
1105-01;SUBCUENTA;LETRAS EN CARTERA;NO;NO;NO;NO;NO
1105-10;SUBCUENTA;CHEQUES POR COBRAR;NO;NO;NO;NO;NO
1105-17;SUBCUENTA;DOCUMENTOS PROTESTADOS;NO;NO;NO;NO;NO
1106;MAYOR;DEUDORES VARIOS;NO;NO;NO;NO;NO
1106-02;SUBCUENTA;DEUDORES VARIOS;NO;NO;NO;NO;NO
1106-03;SUBCUENTA;PRESTAMOS TRABAJADORES;NO;NO;NO;NO;NO
1106-05;SUBCUENTA;EMPRESAS RELACIONADAS;NO;NO;NO;NO;NO
1106-07;SUBCUENTA;FONDOS A RENDIR;NO;NO;NO;NO;NO
1107;MAYOR;DEUDORES INCOBRABLES;NO;NO;NO;NO;NO
1107-01;SUBCUENTA;DEUDORES INCOBRABLES;NO;NO;NO;NO;NO
1108;MAYOR;IMPTOS. POR RECUPERAR;NO;NO;NO;NO;NO
1108-01;SUBCUENTA;PAGOS PROVISIONALES;NO;NO;NO;NO;NO
1108-02;SUBCUENTA;IVA CREDITO FISCAL;NO;NO;NO;NO;NO
1108-04;SUBCUENTA;CREDITO ART. 33 BIS;NO;NO;NO;NO;NO
1108-06;SUBCUENTA;CREDITO SENCE;NO;NO;NO;NO;NO
1109;MAYOR;EXISTENCIAS;NO;NO;NO;NO;NO
1109-01;SUBCUENTA;MERCADERIAS;NO;NO;NO;NO;NO
1109-02;SUBCUENTA;MATERIAS PRIMAS;NO;NO;NO;NO;NO
1109-03;SUBCUENTA;MATERIALES;NO;NO;NO;NO;NO
1109-04;SUBCUENTA;PRODUCTOS FABRICADOS;NO;NO;NO;NO;NO
1109-05;SUBCUENTA;PRODUCTOS EN PROCESO;NO;NO;NO;NO;NO
1109-06;SUBCUENTA;ENVASES;NO;NO;NO;NO;NO
1110;MAYOR;GASTOS ANTICIPADOS;NO;NO;NO;NO;NO
1110-01;SUBCUENTA;COMERCIO EXTERIOR;NO;NO;NO;NO;NO
1110-03;SUBCUENTA;SEGUROS;NO;NO;NO;NO;NO
1110-05;SUBCUENTA;FLUCT. CREDITOS LARGO PLAZO;NO;NO;NO;NO;NO
1110-06;SUBCUENTA;REMODELACION LOCALES;NO;NO;NO;NO;NO
1110-07;SUBCUENTA;ORG. Y PUESTA EN MARCHA;NO;NO;NO;NO;NO
1111;MAYOR;CTAS. CTES. SOCIOS;NO;NO;NO;NO;NO
1111-01;SUBCUENTA;RETIRO SOCIOS;NO;NO;NO;NO;NO
1111-02;SUBCUENTA;RETIROS REINVERSION;NO;NO;NO;NO;NO
1112;MAYOR;GASTOS DIFERIDOS;NO;NO;NO;NO;NO
1112-01;SUBCUENTA;GASTOS REORGANIZACION;NO;NO;NO;NO;NO
1113;MAYOR;CUENTAS OBLIGADAS SOCIOS;NO;NO;NO;NO;NO
1113-01;SUBCUENTA;CUENTAS OBLIGADAS SOCIOS;NO;NO;NO;NO;NO
1115;MAYOR;GASTOS TRIBUTARIOS;NO;NO;NO;NO;NO
1115-01;SUBCUENTA;GASTOS TRIBUTARIOS;NO;NO;NO;NO;NO
1117;MAYOR;IMPORTACIONES EN TRANSITO;NO;NO;NO;NO;NO
1117-01;SUBCUENTA;CTA. IMPORTACIONES;NO;NO;NO;NO;NO
1118;MAYOR;GASTOS RECHAZADOS;NO;NO;NO;NO;NO
1118-01;SUBCUENTA;GASTOS RECHAZADOS;NO;NO;NO;NO;NO
12;SUBGRUPO;ACTIVO FIJO;NO;NO;NO;NO;NO
1202;MAYOR;BIENES RAICES;NO;NO;NO;NO;NO
1202-01;SUBCUENTA;BIENES RAICES;NO;NO;NO;NO;NO
1204;MAYOR;VEHICULOS Y EQUIP. TRANSP.;NO;NO;NO;NO;NO
1204-01;SUBCUENTA;VEHICULOS;NO;NO;NO;NO;NO
1205;MAYOR;MAQUINARIAS Y EQUIPOS;NO;NO;NO;NO;NO
1205-01;SUBCUENTA;MAQUINARIAS;NO;NO;NO;NO;NO
1207;MAYOR;DEPRECIACION ACUMULADA (-);NO;NO;NO;NO;NO
1207-01;SUBCUENTA;DEPRECIACION ACUMULADA (-);NO;NO;NO;NO;NO
1208;MAYOR;PLUSVALÍA;NO;NO;NO;NO;NO
1208-01;SUBCUENTA;DEPRECIACION EJERCICIO (-);NO;NO;NO;NO;NO
1209;MAYOR;OTROS ACTIVOS FIJOS;NO;NO;NO;NO;NO
1209-01;SUBCUENTA;MUEBLES UTILES E INSTALACIONES;NO;NO;NO;NO;NO
1209-02;SUBCUENTA;HERRAMIENTAS Y ENSERES;NO;NO;NO;NO;NO
13;SUBGRUPO;OTROS ACTIVOS;NO;NO;NO;NO;NO
1301;MAYOR;DERECHOS OTRAS EMPRESAS;NO;NO;NO;NO;NO
1301-01;SUBCUENTA;DERECHOS OTRAS EMPRESAS;NO;NO;NO;NO;NO
1303;MAYOR;DERECHOS DE LLAVES;NO;NO;NO;NO;NO
1303-01;SUBCUENTA;DERECHOS DE LLAVES;NO;NO;NO;NO;NO
1305;MAYOR;FLUCTUACION DE VALORES;NO;NO;NO;NO;NO
1305-01;SUBCUENTA;FLUCTUACION DE VALORES;NO;NO;NO;NO;NO
1306;MAYOR;MARCAS COMERCIALES;NO;NO;NO;NO;NO
1306-01;SUBCUENTA;MARCAS COMERCIALES;NO;NO;NO;NO;NO
19;SUBGRUPO;CUENTAS DE ORDEN DEBE;NO;NO;NO;NO;NO
1903;MAYOR;BOLETAS DE GARANTIA;NO;NO;NO;NO;NO
1903-01;SUBCUENTA;BOLETAS DE GARANTIA;NO;NO;NO;NO;NO
1904;MAYOR;LETRAS DESCONTADAS;NO;NO;NO;NO;NO
